time,p1,p2,p3
2024-07-19 01:24:47.542939+00,51.783348,70.715485,45.805676
2024-07-19 01:25:02.415076+00,66.942459,55.450085,32.228798
2024-07-19 01:25:20.345779+00,74.436913,83.638451,28.597775
2024-07-19 01:25:35.21838+00,56.565853,80.032578,44.582939
2024-07-19 01:25:50.173334+00,55.513863,57.424099,32.224575
2024-07-19 01:26:08.17448+00,52.549156,64.649887,43.607265
2024-07-19 01:26:22.972385+00,82.967972,76.967484,15.738453
2024-07-19 01:26:37.769485+00,56.328064,54.701744,34.549461
2024-07-19 01:26:55.544298+00,56.571243,67.433876,43.179504
2024-07-19 01:27:10.397031+00,75.721695,56.954506,26.741850
2024-07-19 01:27:25.286079+00,78.261169,58.560371,22.131203
2024-07-19 01:27:40.191306+00,60.648460,60.382126,42.840981
2024-07-19 01:27:58.255138+00,52.423321,50.698914,51.738094
2024-07-19 01:28:13.099404+00,55.316929,77.002632,34.927979
2024-07-19 01:28:28.004914+00,82.259613,82.268074,27.169432
2024-07-19 01:28:46.067535+00,82.600670,80.495659,16.886955
2024-07-19 01:29:00.956341+00,85.707420,74.661613,15.999789
2024-07-19 01:29:15.844558+00,78.197639,78.893394,13.168831
2024-07-19 01:29:33.910337+00,73.827866,84.191742,20.182047
2024-07-19 01:29:48.819132+00,75.194580,82.015701,13.627246
2024-07-19 01:30:03.701382+00,87.466881,64.016624,13.579225
2024-07-19 01:30:21.761606+00,76.800385,56.035770,19.824015
2024-07-19 01:30:36.645862+00,53.960663,65.396889,41.305843
2024-07-19 01:30:51.511167+00,55.369846,60.073921,28.638182
2024-07-19 01:31:06.398731+00,75.734528,83.935539,17.427902
2024-07-19 01:31:24.476941+00,83.307289,64.159821,13.211538
2024-07-19 01:31:40.815938+00,67.524834,59.298927,34.901913
2024-07-19 01:31:55.680042+00,54.309536,72.662407,44.217133
2024-07-19 01:32:13.782135+00,65.197899,80.311058,33.666397
2024-07-19 01:32:28.689323+00,80.323456,69.010674,13.458924
2024-07-19 01:32:43.573561+00,73.997322,62.319973,16.336081
2024-07-19 01:33:03.131414+00,81.035248,70.839081,3.619392
2024-07-19 01:33:18.039731+00,85.461731,66.593315,14.336466
2024-07-19 01:33:32.950292+00,84.665131,64.889275,11.946134
2024-07-19 01:33:50.924185+00,52.520500,63.735191,35.817974
2024-07-19 01:34:05.835644+00,67.995590,56.355194,32.608612
2024-07-19 01:34:20.745125+00,61.722725,56.101151,29.039850
2024-07-19 01:34:38.792314+00,78.314590,62.325928,13.466089
2024-07-19 01:34:55.162932+00,64.679085,82.384766,28.372803
2024-07-19 01:35:10.096609+00,55.908054,75.723099,34.896667
2024-07-19 01:35:28.151909+00,83.559349,71.504105,21.613365
2024-07-19 01:35:43.151845+00,57.502617,81.058327,42.210331
2024-07-19 01:35:58.049654+00,70.391724,58.319080,27.256681
2024-07-19 01:36:12.993162+00,47.427834,71.339088,42.925716
2024-07-19 01:36:30.800359+00,76.608635,64.881180,10.535518
2024-07-19 01:36:45.680248+00,52.928211,73.134621,36.067444
2024-07-19 01:37:00.477889+00,83.157501,68.157288,13.257948
2024-07-19 01:37:18.272897+00,78.585785,59.481945,17.127659
2024-07-19 01:37:33.126804+00,73.418472,79.545296,20.188543
2024-07-19 01:37:48.10086+00,63.008583,78.019165,39.440403
2024-07-19 01:38:06.074226+00,88.069664,66.877235,14.433879
2024-07-19 01:38:21.074663+00,64.844505,78.662148,41.470348
2024-07-19 01:38:35.979262+00,78.042168,79.905670,16.652954
2024-07-19 01:38:53.885474+00,56.375771,78.584297,42.320301
2024-07-19 01:39:08.827115+00,88.995804,71.007225,11.721949
2024-07-19 01:39:23.631446+00,81.363922,60.648952,12.889344
2024-07-19 01:39:38.598203+00,58.473011,56.574951,26.776085
2024-07-19 01:39:56.685371+00,78.676231,59.731846,15.265787
2024-07-19 01:40:11.686967+00,68.272232,83.275375,35.544556
2024-07-19 01:40:26.681467+00,55.377556,63.057823,41.519096
2024-07-19 01:40:44.491522+00,79.021049,78.760071,17.367662
2024-07-19 01:40:59.362185+00,67.971901,64.355202,30.604551
2024-07-19 01:41:14.176101+00,62.887783,60.067532,41.810013
2024-07-19 01:41:32.314178+00,72.608932,83.988640,28.331614
2024-07-19 01:41:47.313294+00,57.462547,54.262245,36.674404
2024-07-19 01:42:02.314182+00,86.211472,74.494392,11.843576
2024-07-19 01:42:20.134262+00,78.257149,81.705086,21.458998
2024-07-19 01:42:35.132148+00,57.761547,66.268250,41.863213
2024-07-19 01:42:49.9646+00,79.512817,51.037766,24.876240
2024-07-19 01:43:04.85014+00,66.183563,55.006760,37.687977
